Name,Points,Time,CorrectMinValue,CorrectIndex,Timestamp
OpenMP,1000000,0.0004160930,1,1,2025-11-07 07:57:35
OpenMP,10000000,0.0008899070,1,1,2025-11-07 07:57:35
OpenMP,100000000,0.0057741660,1,1,2025-11-07 07:57:35
OpenMP,1000000000,0.0539819650,1,1,2025-11-07 07:57:35
OpenMP,1000,0.0000352900,1,1,2025-11-07 07:58:43
OpenMP,10000,0.0000407800,1,1,2025-11-07 07:58:43
OpenMP,100000,0.0001695710,1,1,2025-11-07 07:58:43
OpenMP,1000000,0.0004242140,1,1,2025-11-07 07:58:43
OpenMP,10000000,0.0008872670,1,1,2025-11-07 07:58:43
OpenMP,100000000,0.0057657550,1,1,2025-11-07 07:58:43
OpenMP,1000000000,0.0539466110,1,1,2025-11-07 07:58:43
OpenMP,1000,0.0000351010,1,1,2025-11-07 07:59:51
OpenMP,10000,0.0000397000,1,1,2025-11-07 07:59:51
OpenMP,100000,0.0001763010,1,1,2025-11-07 07:59:51
OpenMP,1000000,0.0004316330,1,1,2025-11-07 07:59:51
OpenMP,10000000,0.0008897970,1,1,2025-11-07 07:59:51
OpenMP,100000000,0.0057829150,1,1,2025-11-07 07:59:51
OpenMP,1000000000,0.0540626420,1,1,2025-11-07 07:59:51
OpenMP,1000,0.0000354000,1,1,2025-11-07 08:00:59
OpenMP,10000,0.0000405500,1,1,2025-11-07 08:00:59
OpenMP,100000,0.0001824810,1,1,2025-11-07 08:00:59
OpenMP,1000000,0.0004398130,1,1,2025-11-07 08:00:59
OpenMP,10000000,0.0008925970,1,1,2025-11-07 08:00:59
OpenMP,100000000,0.0057728650,1,1,2025-11-07 08:00:59
OpenMP,1000000000,0.0539025760,1,1,2025-11-07 08:00:59
OpenMP,1000,0.0000373900,1,1,2025-11-07 08:02:07
OpenMP,10000,0.0000419800,1,1,2025-11-07 08:02:07
OpenMP,100000,0.0001812010,1,1,2025-11-07 08:02:07
OpenMP,1000000,0.0004432840,1,1,2025-11-07 08:02:07
OpenMP,10000000,0.0008999170,1,1,2025-11-07 08:02:07
OpenMP,100000000,0.0057589450,1,1,2025-11-07 08:02:07
